our_gflops, our_flops, our_time, eigen_gflops, eigen_flops, eigen_time
23.3838,1.71799e+10,0.734691,70.7687,1.71799e+10,0.242761
23.8451,1.71799e+10,0.720479,65.0051,1.71799e+10,0.264285
23.9959,1.71799e+10,0.71595,70.88,1.71799e+10,0.24238
21.1872,1.71799e+10,0.81086,71.4017,1.71799e+10,0.240609
